ID;Descripcion;Precio
1;Back-up de disco HDD o SSD (hasta 50Gb, sino adicional $12 por Gb);13
2;Formateo;20
3;Formateo + Back-up;24
4;Copia de datos (CD; PenDrive; HDD; SSD);10
5;Limpieza y optimización de software;10
6;Limpieza de hardware CPU (suciedad interna);15
7;Limpieza de hardware Notebook / Netbook;20
8;Cambio de pila CPU;4
9;Cambio de pila Notebook / Netbook;10
10;Reparación electronica de Placas madre (costo base);14
11;Instalación de hardware;10
12;Instalación  de software (básico) / (no básico +$300);7
13;Servicio de armado e instalación de S.O. de equipo nuevo;30
14;Armado e instalación de cable de red (precio  por metro);2
15;Instalación y/o configuración de Modem / Router / A.P. (costo por hora);11
16;Adicional domingo y feriados;5
17;Adicional servicio a domicilio (hasta 15kms, sino adicional $10 por km);5
18;Instalación de cámaras (precio por cámara);27
19;Servicio técnico / mantenimiento de sistema de cámaras;12
20;Recuperación de datos (hasta 100gb);16
